"filename", "language", "TypeScript React", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\emane\Desktop\App\Punto\src\views\NuevoRegistroInventario\components\validationSchema.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\emane\Desktop\App\Punto\src\views\NuevoRegistroInventario\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\Principal.tsx", "TypeScript React", 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 439
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\AgregarForm.tsx", "TypeScript React", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 202
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\AsignarForm.tsx", "TypeScript React", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 120
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\CobrarForm.tsx", "TypeScript React", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 540
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\GastoForm.tsx", "TypeScript React", 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 290
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\IntercambioForm.tsx", "TypeScript React", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 275
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\LowerButtons.tsx", "TypeScript React", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 272
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\Notas.tsx", "TypeScript React", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 162
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\PagoForm.tsx", "TypeScript React", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 258
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\Reporte.tsx", "TypeScript React", 444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 467
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\Tickets.tsx", "TypeScript React", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 170
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\components\UpperButtons.tsx", "TypeScript React", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 262
"c:\Users\emane\Desktop\App\Punto\src\views\Principal\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\tsconfig.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 1, 35
"Total", "-", 10291, 3554, 40949, 522, 1127, 45, 48, 23, 33, 6, 1231, 1293, 59122
